Benchmark,Type,Instructions,Cycles,Total Branches,Total Branch-Misses,Total Seconds,IPC,Branch-Miss-Rate,IPS
hmmer,train,374855659349,414262255942,50162619528,39134545,346.452895971,0.9048752426083508,0.0007801535360041495,1081981601.8520956
gromacs,train,326272451153,959648500537,11292902946,123531945,802.441195254,0.33999162294363455,0.010938900793772926,406599826.9813698
GemsFDTD,train,125138911276,843613582946,3125022244,118160026,705.404909555,0.14833676674455606,0.03781093917871005,177400113.8650184
bzip2,train,2654944904766,4190330474233,325433780347,497150314,3504.2614880339997,0.6335884296218814,0.0015276543002693327,757633217.1077527
mcf,train,18411215677,274393244463,3823343127,40169129,229.446687709,0.0670979189485207,0.010506284072787067,80241801.96643485
milc,train,32536054063,199665676992,1830629316,99767320,166.96347071,0.16295266443968545,0.0544989196491159,194869296.40742853
namd,train,48115182507,102976050686,3035688018,12471495,86.114125669,0.4672463372451071,0.004108292725092543,558737397.9960277
perlbench,train,4252032400,8061921933,595577771,49272118,6.757729758000001,0.527421678768072,0.08272994795838343,629210186.3005573
cactusADM,train,94340511869,327366098629,235672475,59545064,273.836394384,0.28818045687716415,0.25266023959734796,344514147.14695144
astar,train,230117114996,638686172455,35375194097,95436114,534.050378749,0.3602976311691066,0.0026978258759036314,430890275.8107648
bwaves,train,119647869721,857596874720,5938097088,123545007,717.120419596,0.13951528188586773,0.02080548788090142,166844879.11863577
h264ref,train,612592752521,698324971892,34013489030,20746041270,584.011166537,0.8772316287949402,0.609935700853915,1048940136.116711
lbm,train,353693,1210901,37822,18875,0.001840002,0.29209076547133084,0.4990481730209931,192224247.58233958
sjeng,train,613757525644,756316817109,82108094020,4045600357,632.434820616,0.8115084998242814,0.04927163887173617,970467636.5640208
leslie3d,train,268977751650,1980084634625,16314971003,179537753,1655.752380396,0.1358415428040229,0.011004478829106504,162450469.5476685
omnetpp,train,224553788932,517406824859,32574334440,5497666301,432.691509618,0.43399850590141287,0.16877294334674364,518969713.8505131
gobmk,train,389819880117,524813624293,52292663387,513029820,439.04596286500004,0.7427777444652734,0.009810741828222497,887879431.9693214
zeusmp,train,88737987747,396542997179,2655192086,51217578,332.037282678,0.22377898078715425,0.019289594251976842,267253083.84436905
libquantum,train,2158040661367,12292642030017,392607383086,1097034372,10278.637994983,0.1755554791311218,0.0027942275648945103,209953951.33288464
