Benchmark,instructions,cycles,seconds
DPcvt,20503390,26283571,0.021894
MIM2,18778804,38192234,0.031814
STc,22984995,29612191,0.024667
EM1,22005784,32038272,0.026688
DP1f,24584011,30141699,0.025108
MIM,18778789,43463604,0.036205
ML2_BW_st,26220222,26786558,0.022313
ED1,28005789,46038072,0.038350
DPTd,25058610,40679038,0.033886
DPT,25819398,43877877,0.036550
DP1d,42675641,52979905,0.044132
ML2_BW_ldst,49157852,62638976,0.052178
STL2,47519412,46478741,0.038717
M_Dyn,55711392,71700757,0.059727
MD,41511801,101238879,0.084332
MI,80335381,89464438,0.074524
CCl,89801332,89708050,0.074727
ML2_BW_ld,81925822,109057073,0.090845
EM5,66005809,118038175,0.098326
MCS,67180194,90970578,0.075778
CCa,104892052,109139100,0.090913
CCh,98311220,113171350,0.094272
CCm,104890004,113362080,0.094431
MIP,101771781,123944929,0.103246
EF,112005812,194038981,0.161634
MC,74552979,187498237,0.156186
CCh_st,140727475,173926824,0.144881
EI,176005845,242038616,0.201618
CS1,185370265,202663840,0.168819
CRd,196449610,216632296,0.180455
CS3,186844825,204925018,0.170703
CCe,270062781,297123429,0.247504
CRf,316356376,316157650,0.263359
