,Benchmark,Instructions_perf,Cycles_perf,Seconds_perf,IPC_perf,IPS_perf,Instructions_gem5,Cycles_gem5,Seconds_gem5,IPC_gem5,IPS_gem5,Instructions_diff,Cycles_diff,IPS_diff,IPC_diff,Seconds_diff,Color,Instructions_%diff,Cycles_%diff,IPS_%diff,IPC_%diff,Seconds_%diff
0,CCa,399059,1155129,0.001923004,0.3454670430748427,207518549.103382,56522,98260,8.2e-05,0.575229,689292682.9268292,-0.342537,-1.056869,0.48177413382344725,0.22976195692515727,-0.001841004,,-0.858361796125385,-0.9149359075912733,2.3215955195573197,0.6650763409445721,-0.9573583830298845
1,CCe,424822,1132944,0.001860004,0.3749717550028951,228398433.55175585,81135,135957,0.000113,0.59677,718008849.5575222,-0.343687,-0.996987,0.4896104160057663,0.22179824499710493,-0.001747004,,-0.8090141282701931,-0.8799967165190865,2.143668012043607,0.5915065389268919,-0.9392474424786184
2,CCh,1544513,2268270,0.002808005,0.6809211425447588,550039262.7506005,1186937,1837140,0.00153,0.646079,775775816.9934641,-0.357576,-0.43113,0.22573655424286365,-0.034842142544758814,-0.0012780050000000002,,-0.23151375223128584,-0.19006996521578118,0.4104008014155481,-0.05116913012062707,-0.4551291753397876
3,CCh_st,456314,1164900,0.001909004,0.3917194608979311,239032500.71765167,101738,171483,0.000143,0.593283,711454545.4545454,-0.354576,-0.993417,0.4724220447368937,0.20156353910206892,-0.0017660039999999998,,-0.7770438776807198,-0.8527916559361318,1.9763925128111548,0.5145609529841296,-0.9250918279898837
4,CCl,469049,1148728,0.001868004,0.4083203334470823,251096357.39538032,124025,175946,0.000147,0.704904,843707482.9931973,-0.345024,-0.972782,0.5926111255978169,0.2965836665529177,-0.001721004,,-0.7355819967636643,-0.8468340634162308,2.3600944742686254,0.7263504710851106,-0.9213063783589328
5,CCm,407044,1122704,0.001834004,0.3625568270888854,221942809.2850397,64715,122640,0.000102,0.527683,634460784.3137255,-0.342329,-1.000064,0.4125179750286858,0.1651261729111146,-0.0017320039999999999,,-0.8410122738573717,-0.8907637275720047,1.8586678989851466,0.4554490788022916,-0.9443839817143256
6,CF1,371811,1123422,0.001842004,0.3309628972905996,201851353.20010164,19782,64664,5.4e-05,0.30592,366333333.3333334,-0.352029,-1.058758,0.16448198013323173,-0.025042897290599553,-0.001788004,,-0.9467955493516867,-0.9424401516082114,0.8148668687406595,-0.07566678167133284,-0.9706841027489626
7,CRd,85863153,59561598,0.050834095,1.4415857848541942,1689085897.9588404,85354045,110628615,0.092154,0.771537,926210962.0852052,-0.509108,51.067017,-0.7628749358736352,-0.6700487848541942,0.041319905,,-0.005929295421983863,0.8573815799905167,-0.4516495796901295,-0.4647998002574399,0.8128384109129905
8,CRf,513719,1179510,0.001921004,0.4355359428915397,267422139.6727961,168578,269087,0.000224,0.626481,752580357.1428572,-0.345141,-0.910423,0.48515821747006105,0.19094505710846027,-0.001697004,,-0.671847838993691,-0.7718654356470059,1.8142036334900153,0.4384140051467825,-0.8833943083929029
9,CRm,646705,2079940,1.163992171,0.3109248343702222,555592.2248552649,62128,131375,0.000109,0.472906,569981651.3761468,-0.584577,-1.948565,0.5694260591512915,0.16198116562977777,-1.1638831710000002,,-0.9039314679799909,-0.9368371203015472,1024.899258263793,0.5209656731276239,-0.9999063567584769
10,CS1,360527,1087122,0.001807,0.3316343519862536,199516878.80464855,15696,61672,5.1e-05,0.254508,307764705.88235295,-0.344831,-1.02545,0.1082478270777044,-0.07712635198625356,-0.001756,,-0.9564637322586104,-0.9432703965148346,0.5425497217390428,-0.23256442381291817,-0.9717764250138351
11,CS3,443707,1225710,0.001946,0.3619999836829266,228009763.61767727,87248,182909,0.000152,0.477002,574000000.0,-0.356459,-1.042801,0.34599023638232274,0.11500201631707341,-0.001794,,-0.803365734595127,-0.8507730213508905,1.5174360557755457,0.3176851422673072,-0.9218910585817061
12,DP1d,731532,2170602,0.002746,0.3370180254141477,266399126.00145665,266354,610859,0.000509,0.436032,523288801.5717092,-0.465178,-1.559743,0.25688967557025255,0.09901397458585226,-0.0022370000000000003,,-0.6358956272589579,-0.7185762290829917,0.964303747636349,0.2937942991748825,-0.814639475600874
13,DP1f,545676,1486079,0.002149,0.3671917845551952,253920893.4388088,138342,321358,0.000268,0.430492,516201492.5373134,-0.407334,-1.164721,0.2622805990985046,0.0633002154448048,-0.0018809999999999999,,-0.7464759307721065,-0.7837544302826431,1.0329224804878467,0.1723900645584561,-0.8752908329455561
14,DPT,560088,1325540,0.002019,0.4225357212909456,277408618.12778604,195729,422557,0.000352,0.463201,556048295.4545455,-0.364359,-0.902983,0.2786396773267595,0.0406652787090544,-0.001667,,-0.6505388438959592,-0.6812189749083393,1.0044377107217568,0.09624104344317315,-0.8256562654779595
15,DPTd,447753,1171459,0.001894,0.3822182423798016,236406019.00739172,97456,232301,0.000194,0.419525,502350515.4639176,-0.350297,-0.939158,0.2659444964565259,0.03730675762019836,-0.0017000000000000001,,-0.782344283567056,-0.8016994192711824,1.1249480769278155,0.09760590543223596,-0.897571277719113
16,DPcvt,390785,1157850,0.001862,0.3375091764909099,209873791.62191197,35960,135914,0.000113,0.264579,318230088.49557525,-0.354825,-1.021936,0.10835629687366327,-0.07293017649090988,-0.001749,,-0.9079800913545811,-0.8826151919505981,0.5162926539625651,-0.21608353659940888,-0.939312567132116
17,ED1,364649,1080474,0.001804,0.3374898424210115,202133592.01773837,19533,85501,7.1e-05,0.228453,275112676.056338,-0.345116,-0.994973,0.07297908403859964,-0.1090368424210115,-0.001733,,-0.9464334195349501,-0.9208671379413109,0.3610438191401423,-0.3230818493345655,-0.9606430155210642
18,EF,393027,1116251,0.001841,0.3520955412357973,213485605.64910376,48224,101678,8.5e-05,0.474282,567341176.4705882,-0.344803,-1.014573,0.35385557082148444,0.1221864587642027,-0.001756,,-0.8773010505639561,-0.908911167828741,1.6575148930794903,0.34702643019945206,-0.9538294405214557
19,EI,384913,1089674,0.001818,0.3532368396419479,211723322.3322332,40014,89767,7.5e-05,0.445754,533520000.00000006,-0.344899,-0.999907,0.3217966776677669,0.09251716035805208,-0.001743,,-0.8960440411209806,-0.9176203158008726,1.5198924432274312,0.26191254698074645,-0.9587458745874587
20,EM1,366347,1080612,0.001816,0.3390180749427176,201732929.5154185,23625,69390,5.8e-05,0.340467,407327586.2068965,-0.342722,-1.011222,0.20559465669147797,0.0014489250572824464,-0.001758,,-0.9355119599723759,-0.935786387713629,1.0191427705200917,0.0042738873363234835,-0.9680616740088106
21,EM5,385257,1094346,0.001865,0.3520431380934366,206572117.9624665,40018,85594,7.1e-05,0.467533,563633802.8169013,-0.345239,-1.008752,0.35706168485443485,0.11548986190656335,-0.0017939999999999998,,-0.8961264818030561,-0.9217852489066529,1.7285086117929613,0.32805599487614756,-0.9619302949061662
22,MC,617878,1528462,0.002255,0.4042481919733693,274003547.6718404,261210,2487674,0.002072,0.105002,126066602.31660232,-0.356668,0.959212,-0.1479369453552381,-0.2992461919733693,-0.000183,,-0.5772466409226417,0.6275667959033329,-0.5399088683786473,-0.7402536310986959,-0.0811529933481153
23,MCS,595953,2158030,0.002707,0.2761560311951178,220152567.41780567,195701,320020,0.000267,0.611527,732962546.8164794,-0.400252,-1.83801,0.5128099793986738,0.33537096880488226,-0.0024400000000000003,,-0.6716167214528662,-0.8517073441981807,2.329339082498469,1.2144256540532559,-0.9013668267454747
24,MD,959316,1856496,0.00248,0.5167347519197456,386820967.7419355,521578,925093,0.000771,0.563811,676495460.4409858,-0.437738,-0.931403,0.2896744926990503,0.047076248080254346,-0.001709,,-0.45630219864987137,-0.5016994380812024,0.748859335082126,0.09110331346084072,-0.6891129032258064
25,MI,521491,1207544,0.001915,0.4318608680097785,272319060.05221933,171245,272992,0.000227,0.627289,754383259.9118943,-0.350246,-0.934552,0.48206419985967497,0.19542813199022147,-0.001688,,-0.6716242466312937,-0.7739279065607547,1.770218359916619,0.45252567775091035,-0.8814621409921671
26,MIM,465421,1275986,0.001974,0.3647540020031568,235775582.5734549,46336,378255,0.000315,0.122499,147098412.6984127,-0.419085,-0.897731,-0.0886771698750422,-0.24225500200315678,-0.001659,,-0.9004428248832778,-0.7035586597345111,-0.37610836926854035,-0.6641599562245795,-0.8404255319148937
27,MIM2,456652,1267218,0.001972,0.3603578863305288,231567951.31845844,46315,338964,0.000282,0.136637,164237588.65248224,-0.410337,-0.928254,-0.0673303626659762,-0.22372088633052878,-0.0016899999999999997,,-0.898577034590892,-0.7325132692243955,-0.2907585539476561,-0.6208297218319421,-0.856997971602434
28,MIP,406964,1264784,0.001958,0.3217656137332541,207846782.4310521,51259,151187,0.000126,0.339044,406817460.3174603,-0.355705,-1.113597,0.1989706778864082,0.017278386266745938,-0.001832,,-0.8740453701064468,-0.8804641741198497,0.9572949629490257,0.05369867235431142,-0.9356486210418795
29,ML2,1371084,3015521,0.003432,0.4546756596952898,399500000.0,728144,3183466,0.002652,0.228727,274564102.5641026,-0.64294,0.167945,-0.1249358974358974,-0.22594865969528977,-0.0007800000000000003,,-0.4689282348856817,0.05569352692287668,-0.31273065691088214,-0.49694470085932,-0.22727272727272735
30,ML2_BW_ld,1120102,2198722,0.002782,0.509433207108493,402624730.4097771,531576,2354887,0.001962,0.225733,270935779.8165137,-0.588526,0.156165,-0.13168895059326338,-0.2837002071084931,-0.00082,,-0.525421791943948,0.07102535018069588,-0.3270761596269436,-0.556893824646327,-0.29475197699496763
31,ML2_BW_ldst,2629138,10251180,0.009673,0.2564717427652231,271801716.1170268,564374,2452787,0.002043,0.230095,276247674.9877631,-2.064764,-7.798393,0.004445958870736301,-0.026376742765223116,-0.00763,,-0.7853387688284145,-0.7607312524021624,0.016357361293561704,-0.10284463497161424,-0.7887935490540681
32,ML2_BW_st,2110781,9374024,0.00879,0.2251734153870312,240134357.22411835,367736,986492,0.000822,0.372771,447367396.59367394,-1.743045,-8.387532,0.2072330393695556,0.14759758461296882,-0.007968,,-0.8257820209675945,-0.8947632308174163,0.8629878779742632,0.6554840604041824,-0.9064846416382253
33,ML2_st,2854336,12257477,0.011813001,0.2328648872847161,241626662.0141656,793686,3247843,0.002705,0.244373,293414417.74491686,-2.06065,-9.009634,0.05178775573075125,0.011508112715283902,-0.009108001000000001,,-0.7219367306441848,-0.7350316871897863,0.21432964102163168,0.049419699334976676,-0.771015002876915
34,MM,16828646,68468671,0.058385001,0.2457860763793706,288235774.8011343,7848123,13151672,0.010955,0.59674,716396439.9817436,-8.980523,-55.316999,0.4281606651806093,0.35095392362062944,-0.047430001,,-0.5336450122012193,-0.8079169376604374,1.4854528917377274,1.4278836653014157,-0.8123661931597809
35,MM_st,16762740,72800943,0.062147001,0.2302544350284034,269727255.2218569,7782595,13036337,0.010859,0.596992,716695367.8975965,-8.980145,-59.764606,0.4469681126757396,0.3667375649715966,-0.051288001,,-0.5357205922182173,-0.8209317563372771,1.657111411704012,1.592749190374366,-0.8252691228012756
36,M_Dyn,672275,2057858,0.002645,0.3266867781936363,254168241.96597356,93271,244522,0.000204,0.381442,457210784.3137255,-0.579004,-1.813336,0.2030425423477519,0.05475522180636372,-0.002441,,-0.8612606448254063,-0.8811764465769747,0.7988509531215704,0.1676077070187052,-0.9228733459357277
37,STL2,1786728,7204244,0.007005,0.2480104782680875,255064668.0942184,52296,244750,0.000204,0.213671,256352941.17647055,-1.734432,-6.959494,0.001288273082252145,-0.0343394782680875,-0.006801,,-0.9707308555079452,-0.9660269696584403,0.00505077042570345,-0.13845978810205012,-0.9708779443254818
38,STL2b,1326971,6049898,0.005981,0.2193377475124374,221864403.94582844,271192,727773,0.000606,0.372633,447511551.15511554,-1.055779,-5.322125,0.2256471472092871,0.1532952524875626,-0.0053750000000000004,,-0.7956308012759887,-0.8797049140332613,1.0170497979675113,0.6989004593423669,-0.8986791506437051
39,STc,426157,1131694,0.00187,0.3765655733793764,227891443.85026735,72913,133174,0.000111,0.547502,656873873.8738738,-0.353244,-0.99852,0.4289824300236065,0.17093642662062364,-0.001759,,-0.8289057788561492,-0.8823233135458879,1.882398139990999,0.45393535337446067,-0.9406417112299466
