Benchmark,Instructions,Cycles,Seconds,Branches,Branch-misses
998.specrand,4864323504,10376396475,12.687154649,613819478,81457426
999.specrand,4862296747,10286217512,12.601878572,613685985,81499005
GemsFDTD,131281649542,829565509726,705.601041205,3889822874,216654586
astar,235872278676,647240266276,551.172632177,36096444641,186459116
bwaves,125645493584,864293780153,734.638225255,6696663714,223341971
bzip2,234626235542,411439405746,356.121616025,26130434967,159769778
cactusADM,99978149308,335459188892,290.502651811,940437878,151929732
calculix,13194389794,23769841514,31.875617838,1762710211,130322640
gcc,11819227071,24714486129,30.678413057,1555578834,178186201
gobmk,399919930414,535362793868,463.717438203,53530449944,669858601
gromacs,332408666236,971873640548,822.649488300,12044504409,225375893
h264ref,618715785536,712165257152,605.528250804,34754965165,20856879983
hmmer,380461259622,434402202035,373.216293811,50862821185,130866374
lbm,87465248687,1178691055057,995.494762882,1924796798,210754578
leslie3d,274644144853,1991103538312,1674.757710951,17025934178,272607592
libquantum,17441182463,32324314796,37.039129251,2836779209,93816329
mcf,24169054278,287737007618,250.591651768,4543916664,135279020
milc,38164172783,211425735477,186.788063364,2538848012,190298109
namd,53980421033,114759870102,105.967369236,3752634388,108591294
omnetpp,230712282595,524992828131,448.991185386,33329370618,5576605493
povray,48653110825,93314507576,94.033958667,4268260157,531785445
sjeng,619273064538,774442823286,657.520887853,82797652348,4166694517
sphinx3,50043911356,158458401967,144.509061470,4937713576,136096305
tonto,1015359271423,2340260520844,1966.718588846,72438058597,4526858100
zeusmp,94232684260,399323511209,343.874716811,3348840502,136815108
